image,name,new-price,old-price,url
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/03299/1.jpg?1193,Hp IMPRIMANTE MULTI-FONCTIONS HP DeskJet 2320,41 990 FCFA,63 000 FCFA,www.jumia.sn/hp-imprimante-multi-fonctions-hp-deskjet-2320-9923072.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/906001/1.jpg?3236,Music Pioneer Clé USB 3.0 Haute Vitesse 32Go Métal OTG,2 600 FCFA,6 900 FCFA,www.jumia.sn/music-pioneer-cle-usb-3.0-haute-vitesse-32go-metal-otg-10060996.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/41879/1.jpg?1784,"Hp Mini HP Stream - Ecran 11"" - Dual Core - RAM  4Go - Stockage 64Go - Noir",126 000 FCFA,230 000 FCFA,www.jumia.sn/mini-hp-stream-ecran-11-dual-core-4go-ram-64go-emmc-hp-mpg45757.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/85016/1.jpg?6610,Generic Sac A Dos A Port USB Ordinateur Portable  -  Noir/Gris,8 450 FCFA,16 569 FCFA,www.jumia.sn/sac-a-dos-a-port-usb-noirgris-generic-mpg46092.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/39489/1.jpg?0667,Generic Refroidisseur D'ordinateur Portable-noir,6 726 FCFA,13 188 FCFA,www.jumia.sn/generic-refroidisseur-dordinateur-portable-noir-9849349.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/30289/1.jpg?0702,IOOIOO Flash Disk Flash Drive - 32 Go - Argent,2 999 FCFA,5 551 FCFA,www.jumia.sn/iooioo-flash-disk-flash-drive-32-go-argent-9820313.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/52099/1.jpg?4928,"Hp 250 G8 - DUAL CORE - 4Go RAM - 500Go Disque Dur - Ecran 15.6"" + Sac",195 000 FCFA,260 000 FCFA,www.jumia.sn/hp-250-g8-dual-core-4go-ram-500go-disque-dur-ecran-15.6-sac-9902535.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/403401/1.jpg?3463,Generic Sac D'ordinateur Portable Mince Sac à Main Sac à Bandoulière,5 990 FCFA,9 990 FCFA,www.jumia.sn/generic-sac-dordinateur-portable-mince-sac-a-main-sac-a-bandouliere-10430450.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/73406/1.jpg?8523,Hp Imprimante 2710 - Wifi - Impression - Photocopie - Scanner - Blanc,45 000 FCFA,70 000 FCFA,www.jumia.sn/imprimante-2710-wifi-impression-photocopie-scanner-blanc-hp-mpg43452.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/48749/1.jpg?1153,DELL Pro Sleeve 15 - housse d'ordinateur portable,6 900 FCFA,14 000 FCFA,www.jumia.sn/dell-pro-sleeve-15-housse-dordinateur-portable-9478406.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14906/1.jpg?4413,Generic Clé USB 2.0 - 32GB - Argent,3 100 FCFA,6 078 FCFA,www.jumia.sn/generic-cle-usb-2.0-32gb-argent-6094106.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/849301/1.jpg?1646,"Generic Housse pour ordinateur portable avec poches pour ordinateur portable jusqu'à 15,6 pouces, Predator, Inspiron, ASUS ZenBook 15 VivoBook, HP Pavilion, Lenovo IdeaPad 330, ThinkPad E590, Chromebook (gris + sangle)",6 700 FCFA,13 137 FCFA,www.jumia.sn/generic-housse-pour-ordinateur-portable-avec-poches-pour-ordinateur-portable-jusqua-156-pouces-predator-inspiron-asus-zenbook-15-vivobook-hp-pavilion-lenovo-ideapad-330-thinkpad-e590-chromebook-gris-sangle-10394866.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/10449/1.jpg?0431,Generic Étiqueteuse De Prix MX 5500 + 1 ENCRE+10 Rouleaux De Papier De Codage,6 980 FCFA,13 166 FCFA,www.jumia.sn/generic-etiqueteuse-de-prix-mx-5500-1-encre10-rouleaux-de-papier-de-codage-9440157.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/12979/1.jpg?3965,Generic Adaptateur OTG Micro USB mâle vers USB 3.1 femelle COULEUR NOIRE,950 FCFA,,www.jumia.sn/generic-adaptateur-otg-micro-usb-male-vers-usb-3.1-femelle-couleur-noire-9792116.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/867201/1.jpg?6392,Fashion SAI Sac à Dos Imperméable Alpinisme Grande Capacité 35L - Noir,6 400 FCFA,11 988 FCFA,www.jumia.sn/fashion-sai-sac-a-dos-impermeable-alpinisme-grande-capacite-35l-noir-10276842.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/69529/1.jpg?5736,XIAOMI Répéteur (amplificateur) Extender Répétieur Wifi  double bande AC 1200 Mbps,23 900 FCFA,35 000 FCFA,www.jumia.sn/xiaomi-repeteur-amplificateur-extender-repetieur-wifi-double-bande-ac-1200-mbps-9259691.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/867201/1.jpg?4419,Generic SAI Sac A Dos + Sac A Bandoulière + Pochette - Gris,6 400 FCFA,12 549 FCFA,www.jumia.sn/generic-sai-sac-a-dos-sac-a-bandouliere-pochette-gris-10276876.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/449301/1.jpg?8509,"Toshiba Disque Dur Externe Toshiba Canvio Basics - 1To - USB 3.0 - 2,5 Pouces",34 900 FCFA,45 000 FCFA,www.jumia.sn/toshiba-disque-dur-externe-toshiba-canvio-basics-1to-usb-3.0-25-pouces-10394450.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/978201/1.jpg?8521,Generic Support de refroidissement pour ordinateur portable cooling pad 638B,6 800 FCFA,,www.jumia.sn/generic-support-de-refroidissement-pour-ordinateur-portable-cooling-pad-638b-10287926.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/54788/1.jpg?1446,Generic Boost Répéteur WiFi sans fil Extender 300Mbps amplificateur Wi-Fi 802.11N/B/G,8 950 FCFA,20 000 FCFA,www.jumia.sn/boost-repeteur-wifi-sans-fil-extender-300mbps-amplificateur-wi-fi-802.11nbg-generic-mpg32712.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/16205/1.jpg?1512,"Generic Refroidisseur pour Ordinateur Portable 9 - 17"" - Noir",4 500 FCFA,10 000 FCFA,www.jumia.sn/refroidisseur-pour-ordinateur-portable-9-17-noir-generic-mpg35133.html
