image,nom,new-price,old-price,url
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/093711/1.jpg?2474,Atouch - A 105 - 5G -128 go gold - avec clavier- appareil photo 5 MP-,64 900 FCFA,,www.jumia.sn/atouch-a-105-5g-128-go-gold-avec-clavier-appareil-photo-5-mp-11739078.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/04895/1.jpg?7319,"Generic Tablette Enfant - Ecran 7"" - ROM 16Go - RAM 2Go - Rose",28 990 FCFA,35 000 FCFA,www.jumia.sn/generic-tablette-enfant-ecran-7-rom-16go-ram-2go-rose-5984081.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/193711/1.jpg?2474,Atouch - A 105 - 5G -128 go Noir - avec clavier- appareil photo 5 MP,75 000 FCFA,90 000 FCFA,www.jumia.sn/atouch-a-105-5g-128-go-noir-avec-clavier-appareil-photo-5-mp-11739120.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14679/1.jpg?1421,"Generic Tablette PC avec Clavier - Ecran 7"" - Sim 4G - Androïd - RAM 2 Go - Rom 32 Go - blanc",42 000 FCFA,49 000 FCFA,www.jumia.sn/generic-tablette-pc-avec-clavier-ecran-7-sim-4g-android-ram-2-go-rom-32-go-blanc-9764106.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/92299/1.jpg?5596,Cidea Tablette Enfant - Ecran 8''- RAM 4Go - ROM 128Go - Batterie 3500mAh - mauve,60 000 FCFA,,www.jumia.sn/cidea-tablette-enfant-ecran-8-ram-4go-rom-128go-batterie-3500mah-mauve-9922947.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/298/1.jpg?7552,Atouch Tablette Enfant  - Ecran  7''- RAM 1Go - ROM 8Go  - Batterie 3000mAh  - Rose,27 990 FCFA,40 000 FCFA,www.jumia.sn/atouch-tablette-enfant-ecran-7-ram-1go-rom-8go-batterie-3000mah-rose-89274.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/343511/1.jpg?2658,Atouch - A 105 - 5G -128 go - Avec clavier - Appareil photo 5 MP - Noir,65 000 FCFA,85 000 FCFA,www.jumia.sn/atouch-a-105-5g-128-go-avec-clavier-appareil-photo-5-mp-noir-11534326.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/654001/1.jpg?8885,Generic Écouteurs Stéréo Sans Fil Bluetooth 5.0 Micro,4 200 FCFA,6 750 FCFA,www.jumia.sn/generic-ecouteurs-stereo-sans-fil-bluetooth-5.0-micro-10045602.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/287/1.jpg?6876,Generic Tablette Enfant - Ecran 7''- ROM 8Go - RAM 1Go - Pochette noir offert - blanc,29 900 FCFA,35 000 FCFA,www.jumia.sn/generic-tablette-enfant-ecran-7-rom-8go-ram-1go-pochette-noir-offert-blanc-78267.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/224501/1.jpg?1084,"Lenosed Tablette éducatif - 7"" - Double SIM et CAMERA  - Android 6.1-16Gb ROM - 2GB RAM",42 500 FCFA,49 900 FCFA,www.jumia.sn/lenosed-tablette-educatif-7-double-sim-et-camera-android-6.1-16gb-rom-2gb-ram-10542251.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14895/1.jpg?8305,Atouch Tablette Atouch 4G - Rom 64go - Ram 4go - Ecran 10pouces - Camera 5 pixel - Gris,54 990 FCFA,65 000 FCFA,www.jumia.sn/atouch-tablette-atouch-4g-rom-64go-ram-4go-ecran-10pouces-camera-5-pixel-gris-5984106.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/850301/1.jpg?6860,"BEBE TAB Tablette pc - Ecran 7"" - RAM 2 Go - ROM 16 Go - Caméra 0.3 Mégapixels - noir",31 900 FCFA,,www.jumia.sn/bebe-tab-tablette-pc-ecran-7-ram-2-go-rom-16-go-camera-0.3-megapixels-noir-10305826.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/16134/1.jpg?8085,"Generic Tablette Enfant - Ecran 7"" - RAM 1 Go - ROM 8 Go - Caméra 0.3 Mégapixels rouge + Pochette de protection offerte",26 890 FCFA,45 000 FCFA,www.jumia.sn/generic-tablette-enfant-ecran-7-ram-1-go-rom-8-go-camera-0.3-megapixels-rouge-pochette-de-protection-offerte-4316131.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/814001/1.jpg?7085,Generic Hbs730 Wireless Bluetooth Headset Sports Bass Earphone,4 990 FCFA,8 590 FCFA,www.jumia.sn/generic-hbs730-wireless-bluetooth-headset-sports-bass-earphone-10041868.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/700001/1.jpg?5838,"Samsung Tablette Galaxy Tab A7 Lite- Ecran 8,7´´- RAM 3GB - ROM 32GB- gray",134 000 FCFA,,www.jumia.sn/samsung-tablette-galaxy-tab-a7-lite-ecran-87-ram-3gb-rom-32gb-gray-10000748.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/29849/1.jpg?6410,"Modio Tablette Modio m112, 8"", 64GB, 4GB Ram,4G LTE, Quad Core, Dual Camera, gold",38 500 FCFA,,www.jumia.sn/modio-tablette-modio-m112-8-64gb-4gb-ram4g-lte-quad-core-dual-camera-gold-9489215.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/792711/1.jpg?1221,Modio Tablette Enfant M112 4G Android 128GO RAM 4GO Ecran 8 POUCES Camera 5mpx,44 900 FCFA,100 000 FCFA,www.jumia.sn/modio-tablette-enfant-m112-4g-android-128go-ram-4go-ecran-8-pouces-camera-5mpx-11729790.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/100001/1.jpg?2887,"Generic Tablette PC educatif - Ecran 7"" - Sim 4G  - RAM 2 Go - Rom 32 Go - noir",46 000 FCFA,50 000 FCFA,www.jumia.sn/generic-tablette-pc-educatif-ecran-7-sim-4g-ram-2-go-rom-32-go-noir-10000158.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/38795/1.jpg?2818,Modio Tablette pc modio - Rom 128go -Ram 4go - Ecran 10 pouces - Camera 15 pixels - GOLD,57 000 FCFA,95 000 FCFA,www.jumia.sn/modio-tablette-pc-modio-rom-128go-ram-4go-ecran-10-pouces-camera-15-pixels-gold-5978367.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/65261/1.jpg?3823,"Generic Tablette  - Ecran 7"" - RAM 2Go - ROM 16Go - Caméra 0.3 Mégapixels - noir pc",32 500 FCFA,45 000 FCFA,www.jumia.sn/generic-tablette-ecran-7-ram-2go-rom-16go-camera-0.3-megapixels-noir-pc-1625645.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/113401/1.jpg?1954,Atouch - A 105 - 5G -128 go silver - avec clavier- appareil photo 5 MP-,75 000 FCFA,,www.jumia.sn/atouch-a-105-5g-128-go-silver-avec-clavier-appareil-photo-5-mp-10431117.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/792711/1.jpg?6992,Atouch Tablette Éducative A36 - 7 Pouces - 16 Go - 2 Go Ram Android + Gadgets offerts,28 000 FCFA,40 000 FCFA,www.jumia.sn/atouch-tablette-educative-a36-7-pouces-16-go-2-go-ram-android-gadgets-offerts-11729796.html
